h1,h2,h3,h4,eval
0.9576213907301072,0.0,0.0,0.6256659163780024,0.59
0.9576213907301072,0.0,0.0,0.6880834784905228,0.685
0.9511254960556053,0.0,0.0,0.6855471581554847,0.575
0.9511254960556053,0.0,0.0,0.7374513585482576,0.7
0.9511254960556053,0.0,0.0,0.7374513585482576,0.74
0.9511254960556053,0.0903344706017331,0.0,0.7374513585482576,0.65
0.9511254960556053,0.0903344706017331,0.0,0.7374513585482576,0.645
0.9511254960556053,0.27012512609835815,0.5,0.7374513585482576,0.71
0.9511254960556053,0.27012512609835815,0.0,0.7374513585482576,0.605
0.9511254960556053,0.3028003741652687,0.5,0.7374513585482576,0.76
0.9511254960556053,0.3028003741652687,0.0,0.7374513585482576,0.73
0.9511254960556053,0.3028003741652687,0.0,0.7752793396536881,0.72
0.9422841232473911,0.3028003741652687,0.0,0.7577621168183132,0.675
0.9426084328333805,0.3028003741652687,0.5,0.7839996130202647,0.79
0.9426084328333805,0.3028003741652687,0.5,0.7839996130202647,0.75
0.9422841232473911,0.0,0.0,0.7422378831816868,0.75
0.9422841232473911,0.0,0.0,0.7951672353008665,0.625
0.9422841232473911,0.0,0.0,0.7951672353008665,0.66
0.9426084328333805,0.0,0.0,0.8228289344341906,0.645
0.9426084328333805,0.0,0.0,0.8228289344341906,0.635
0.9426084328333805,0.0,0.0,0.8304986810771359,0.645
0.9426084328333805,0.0,0.0,0.8304986810771359,0.73
0.9429291278619142,0.0,0.0,0.7951672353008665,0.705
0.930510747289817,0.0,0.0,0.8071775040415409,0.705
0.930510747289817,0.0,0.0,0.781624177132741,0.75
0.930510747289817,0.0,0.0,0.781624177132741,0.745
0.9309797552332316,0.0,0.0,0.7662498774953131,0.7
0.9309797552332316,0.0,0.0,0.7662498774953131,0.725
0.9309797552332316,0.0,0.0,0.8071775040415409,0.69
0.9119917788706547,0.0,0.0,0.7951672353008665,0.76
0.9127409633113532,0.0,0.0,0.7048327646991335,0.71
0.8801744681381934,0.0,0.0,0.7048327646991335,0.755
0.8801744681381934,0.0,0.0,0.7951672353008665,0.745
0.8801744681381934,0.0,0.0,0.7951672353008665,0.79
0.8801744681381934,0.0,0.0,0.8144528418445154,0.7
0.8099696781216403,0.0,0.0,0.8607910254538721,0.715
0.8133514246521635,0.0,0.0,0.8440417392452615,0.815
0.5855116858001842,0.0,0.0,0.8948630865774932,0.775
0.5855116858001842,0.1771710655658095,0.5,0.8948630865774932,0.87
0.5855116858001842,0.1771710655658095,0.5,0.8948630865774932,0.945
0.9511254960556053,0.0,0.0,0.6392089745461279,0.61
0.9511254960556053,0.0903344706017331,0.5,0.6392089745461279,0.67
0.9511254960556053,0.0903344706017331,0.5,0.6392089745461279,0.72
0.9511254960556053,0.12690837398846996,0.5,0.6392089745461279,0.635
0.9511254960556053,0.12690837398846996,0.5,0.6392089745461279,0.61
0.9511254960556053,0.12690837398846996,0.5,0.6855471581554847,0.62
0.9511254960556053,0.12690837398846996,0.5,0.6855471581554847,0.595
0.9511254960556053,0.12690837398846996,0.5,0.7220345169099999,0.575
